	S5	S6	S7	S8	S13	S14	S15	S16	S21	S22	S23	S24
PENG0000000242	55	203	74	182	50	75	50	609	42	178	95	151
PENG0000000243	1137	1093	992	1120	1078	675	1222	1580	1042	897	985	1087
PENG0000000244	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000245	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000246	5	5	0	5	0	0	0	31	3	2	2	6
PENG0000000247	58	59	43	29	43	28	54	57	48	31	37	49
PENG0000000248	0	0	0	0	0	0	0	0	0	2	0	0
PENG0000000249	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000250	0	0	1	0	2	0	0	0	0	0	1	2
PENG0000000251	1	6	4	5	0	7	4	4	3	4	3	3
PENG0000000252	763	657	667	583	810	501	735	551	783	508	690	614
PENG0000000253	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000254	6269	6382	5344	6183	5966	4390	6928	9984	6356	5315	4616	5755
PENG0000000255	9688	6965	8675	7181	9685	7409	8618	6792	8651	4769	8831	9009
PENG0000000256	12	76	46	55	11	83	75	16	30	47	40	74
PENG0000000257	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000258	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000259	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000260	23	8	18	7	23	4	22	11	27	3	36	7
PENG0000000261	0	2	0	9	0	0	0	0	0	0	0	0
PENG0000000262	1883	1340	2121	1358	1797	1102	1918	1114	1970	1058	1921	1527
PENG0000000263	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000264	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000265	1	0	0	2	0	0	0	0	0	1	2	0
PENG0000000266	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000267	2	4	4	2	5	4	6	1	11	6	7	15
PENG0000000268	0	4	3	3	0	4	0	1	0	3	0	8
PENG0000000269	1107	1517	1068	1407	1326	1499	1216	1347	1272	1085	1255	1268
PENG0000000270	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000271	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000272	8	22	7	1	7	24	5	9	11	18	4	5
PENG0000000273	0	0	0	0	1	0	0	0	0	0	0	0
PENG0000000274	2244	1801	4404	3280	2314	836	4292	2348	2152	1081	4546	3722
PENG0000000275	882	1408	497	844	937	908	620	1098	612	1104	246	819
PENG0000000276	5327	4180	4435	4722	5954	4866	4901	2869	5252	2789	5356	4260
PENG0000000277	2	2	5	3	6	2	5	2	5	0	6	1
PENG0000000278	1	0	0	0	0	0	0	0	0	0	0	0
PENG0000000279	37	110	102	125	30	68	99	98	47	91	98	111
PENG0000000280	0	0	0	0	1	0	0	0	0	0	0	0
PENG0000000281	2	14	2	9	11	9	5	17	1	2	3	10
PENG0000000282	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000283	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000284	0	1	0	0	0	0	0	1	0	1	0	0
PENG0000000285	24	333	22	192	31	74	47	150	54	116	78	132
PENG0000000286	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000287	4325	3519	3329	3469	4456	1233	5229	2171	4251	2523	3565	2661
PENG0000000288	1	0	0	0	0	0	0	0	0	0	0	3
PENG0000000289	3819	2374	3922	3133	4253	3276	4083	2111	3694	1613	4579	3135
PENG0000000290	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000291	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000292	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000293	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000294	180	453	236	495	210	344	251	617	222	313	199	500
PENG0000000295	0	2	0	0	0	5	2	0	0	0	0	1
PENG0000000296	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000297	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000298	1059	3890	1250	2952	1313	2292	992	1170	1245	2928	911	3100
PENG0000000299	110	297	266	332	137	238	274	476	131	198	332	317
PENG0000000300	0	3	0	5	2	14	8	6	2	0	0	7
PENG0000000301	0	4	0	0	0	0	0	0	0	0	0	0
PENG0000000302	0	0	0	0	0	0	0	0	0	1	0	0
PENG0000000303	3845	3973	4806	4141	3595	1925	5160	5079	4253	3175	5261	4261
PENG0000000304	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000000305	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000306	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000307	0	0	0	0	0	1	0	0	0	0	0	0
PENG0000000308	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000309	3	0	1	0	2	0	1	1	2	0	4	0
PENG0000000310	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000311	6	3	9	15	8	9	13	16	12	8	4	12
